cat                     ,site                                           ,url                                                        ,features
Attractions             ,Aldo Leopold Nature Center                     ,https://aldoleopoldnaturecenter.org                        ,hiking
Attractions             ,Henry Vilas Zoo                                ,https://www.henryvilaszoo.gov                              ,museums
Attractions             ,Memorial Union Terrace                         ,https://union.wisc.edu                                     ,dining|music
Attractions             ,Monona Terrace                                 ,https://www.mononaterrace.com                              ,concerts|theater
Attractions             ,Olbrich Botanical Gardens                      ,https://www.olbrich.org                                    ,hiking|art
Attractions             ,Overture Center for the Arts                   ,https://www.overture.org                                   ,theater|concerts
Attractions             ,UW-Madison Arboretum                           ,https://arboretum.wisc.edu                                 ,hiking
Attractions             ,Wisconsin State Capitol Tours                  ,https://tours.wisconsin.gov                                ,museums
Downtown                ,Downtown Eateries                              ,https://visitdowntownmadison.com                           ,dining
Downtown                ,Downtown Nightlife                             ,https://visitdowntownmadison.com                           ,clubbing|music
Downtown                ,Shopping                                       ,https://www.visitmadison.com                               ,shopping
Special Events          ,Art Fair on the Square                         ,https://www.mmoca.org                                      ,art|shopping
Special Events          ,Brat Fest                                      ,https://bratfest.com                                       ,dining|music
Special Events          ,Concerts on the Square                         ,https://wcoconcerts.org                                    ,concerts|music
Special Events          ,Jazz at Five                                   ,https://jazzatfive.org                                     ,concerts|music
Special Events          ,Madison Marathon                               ,https://www.madisonmarathon.org                            ,sports|exercise
Special Events          ,Make Music Madison                             ,https://www.makemusicmadison.org                           ,concerts|music
Special Events          ,Opera in the Park                              ,https://www.madisonopera.org                               ,concerts|theater|music
Special Events          ,Orton Park Festival                            ,https://www.marquette-neighborhood.org                     ,concerts|dining
Special Events          ,Paddle & Portage                               ,https://paddleandportage.com                               ,sports|hiking
Special Events          ,Ride the Drive                                 ,https://www.cityofmadison.com/parks/ridethedrive           ,sports|exercise
Children & Families     ,Blooming Butterflies                           ,https://www.olbrich.org                                    ,museums|hiking
Children & Families     ,Children's Theater of Madison                  ,https://ctmtheater.org                                     ,theater
